gml_id,Gemeinde_name,Gemeinde_schluessel
s_wfs_alkis_bezirk.F176__1,Reinickendorf,12
s_wfs_alkis_bezirk.F176__2,Charlottenburg-Wilmersdorf,4
s_wfs_alkis_bezirk.F176__3,Treptow-Köpenick,9
s_wfs_alkis_bezirk.F176__4,Pankow,3
s_wfs_alkis_bezirk.F176__5,Neukölln,8
s_wfs_alkis_bezirk.F176__6,Lichtenberg,11
s_wfs_alkis_bezirk.F176__7,Marzahn-Hellersdorf,10
s_wfs_alkis_bezirk.F176__8,Spandau,5
s_wfs_alkis_bezirk.F176__9,Steglitz-Zehlendorf,6
s_wfs_alkis_bezirk.F176__10,Mitte,1
s_wfs_alkis_bezirk.F176__11,Friedrichshain-Kreuzberg,2
s_wfs_alkis_bezirk.F176__12,Tempelhof-Schöneberg,7
